iter	Logloss
0	0.5836226967
1	0.5157041344
2	0.4757972607
3	0.4463355201
4	0.4264905524
5	0.4120211442
6	0.3911494057
7	0.3751802312
8	0.3655602689
9	0.3579556893
10	0.3507924598
11	0.3434871557
12	0.3387140546
13	0.332437766
14	0.3197706539
15	0.3115395992
16	0.3065446986
17	0.3034742162
18	0.2996116439
19	0.2961162193
20	0.2927906045
21	0.284582857
22	0.2807500459
23	0.2778444728
24	0.275265019
25	0.2727378992
26	0.270660962
27	0.2630762811
28	0.261180518
29	0.2596831021
30	0.2581486188
31	0.2559306111
32	0.2539138093
33	0.2521445133
34	0.2505174841
35	0.2475521665
36	0.2460100344
37	0.2446422719
38	0.243366205
39	0.2423619243
40	0.2408448697
41	0.2393158906
42	0.2383087012
43	0.2357733447
44	0.2340773802
45	0.2329731146
46	0.2303090438
47	0.2292321299
48	0.2281184514
49	0.226856724
50	0.2254827876
51	0.2244829143
52	0.2228175569
53	0.2214827299
54	0.2181824849
55	0.2164084465
56	0.2156966581
57	0.2145683119
58	0.2123803134
59	0.2111667219
60	0.2085119204
61	0.2075166668
62	0.20658723
63	0.2057822387
64	0.2051805484
65	0.204231826
66	0.2030042486
67	0.2020613635
68	0.201337698
69	0.2004681282
70	0.1996679366
71	0.1988638301
72	0.1977841934
73	0.1969506615
74	0.1961564698
75	0.1956586259
76	0.195043435
77	0.1944047919
78	0.1936904642
79	0.1929437348
80	0.1920778037
81	0.1913306501
82	0.190305375
83	0.1895706134
84	0.1885477222
85	0.1881035752
86	0.1873624692
87	0.1866773105
88	0.1860092207
89	0.1849174978
90	0.184243336
91	0.1838213461
92	0.1833598561
93	0.1825051702
94	0.1819246554
95	0.1810914243
96	0.1806628287
97	0.1800703775
98	0.1793270911
99	0.1789873715
100	0.1785772242
101	0.1781088653
102	0.1776838719
103	0.176856384
104	0.1763227097
105	0.1759274788
106	0.1751539495
107	0.1747694287
108	0.1740873053
109	0.1737836097
110	0.1733615525
111	0.1721443303
112	0.1715555834
113	0.1709164768
114	0.1705620332
115	0.1701635653
116	0.1698128526
117	0.1690531667
118	0.1685525055
119	0.1679498677
120	0.1674758167
121	0.1670470926
122	0.1665366568
123	0.1661896516
124	0.1658025237
125	0.1654808188
126	0.1650539085
127	0.1647754914
128	0.1644520554
129	0.163989466
130	0.163704107
131	0.1631837901
132	0.1627646245
133	0.1625179204
134	0.1618149817
135	0.1615662862
136	0.1611630326
137	0.1606585611
138	0.160267581
139	0.159967259
140	0.1596710255
141	0.1593228218
142	0.1589263167
143	0.1584404449
144	0.1579755798
145	0.1577260675
146	0.1574906626
147	0.1570872458
148	0.156508661
149	0.1562207015
150	0.1559136974
151	0.1552444717
152	0.1545274058
153	0.1542204244
154	0.1539088015
155	0.1536238864
156	0.1534767918
157	0.153149111
158	0.1524566861
159	0.1522504087
160	0.1516970273
161	0.1509946625
162	0.1507724134
163	0.150529982
164	0.1501771779
165	0.1498772952
166	0.1496589801
167	0.1491971613
168	0.1489743641
169	0.1487708563
170	0.1484507309
171	0.1481282787
172	0.1477497741
173	0.1475662864
174	0.1473417704
175	0.1470091838
176	0.1466364293
177	0.1464525595
178	0.1463347654
179	0.1459592866
180	0.145711095
181	0.1452707387
182	0.1449932531
183	0.1446467487
184	0.1442724504
185	0.1439226052
186	0.1432714274
187	0.142951982
188	0.1427153258
189	0.1423408001
190	0.1421505491
191	0.141550336
192	0.1412557956
193	0.1410211916
194	0.1408385002
195	0.1404907584
196	0.1401614457
197	0.1398963561
198	0.1395972189
199	0.1392247679
200	0.1389313766
201	0.1384487725
202	0.1382717008
203	0.1380988771
204	0.1378828789
205	0.1375870699
206	0.1373333986
207	0.1370762435
208	0.136807666
209	0.136655545
210	0.1364885553
211	0.1363123512
212	0.13606841
213	0.1358884136
214	0.135719127
215	0.1354884925
216	0.1352695758
217	0.1349758557
218	0.1348560792
219	0.134709477
220	0.1343989966
221	0.1341976526
222	0.1340654838
223	0.1337729686
224	0.133417166
225	0.1331549134
226	0.1329873508
227	0.1328317186
228	0.1325846682
229	0.1323470571
230	0.1321477673
231	0.1318470288
232	0.1315575143
233	0.1313539915
234	0.1310114822
235	0.1308596476
236	0.1306509248
237	0.1304586494
238	0.1302878245
239	0.1301214185
240	0.1299095764
241	0.1296236727
242	0.1294155781
243	0.1291755993
244	0.1290626702
245	0.1288874101
246	0.1286997125
247	0.1285322544
248	0.12829608
249	0.1279320993
250	0.1276977317
251	0.1275088667
252	0.1272640129
253	0.1270842703
254	0.1269200901
255	0.1268072088
256	0.1265692641
257	0.1264544256
258	0.1262442451
259	0.1261135526
260	0.1259235798
261	0.1257503374
262	0.1255699426
263	0.1254472134
264	0.1252671457
265	0.1251029467
266	0.1249736892
267	0.1247313221
268	0.124513788
269	0.1243065871
270	0.1241298636
271	0.1240083168
272	0.1238251283
273	0.1236176722
274	0.1232667851
275	0.1231210951
276	0.1228249494
277	0.1227069187
278	0.1225719657
279	0.1222764001
280	0.1221110622
281	0.1219869073
282	0.1217793945
283	0.1216895725
284	0.1215117336
285	0.1213715205
286	0.1212440063
287	0.1210911716
288	0.1208986716
289	0.1206847096
290	0.120482905
291	0.1202716948
292	0.1200356414
293	0.1198553655
294	0.1197124922
295	0.1196377935
296	0.1194796704
297	0.1193473928
298	0.1192044847
299	0.1190801421
300	0.1189091063
301	0.1187592888
302	0.1186458745
303	0.1184862159
304	0.1182979855
305	0.1181389496
306	0.117995901
307	0.1178361659
308	0.1177165654
309	0.1176071552
310	0.1174494883
311	0.1173019866
312	0.1170825898
313	0.116973247
314	0.1168579822
315	0.1164715696
316	0.1162462199
317	0.1160961187
318	0.1159549101
319	0.1157135709
320	0.1155497681
321	0.11541203
322	0.115300646
323	0.1152417442
324	0.1150949143
325	0.1149646701
326	0.1148052475
327	0.1146657098
328	0.1145581504
329	0.1144660844
330	0.1143328503
331	0.1142435868
332	0.1140571371
333	0.1139172919
334	0.1138177881
335	0.1136705289
336	0.1134983487
337	0.1134027148
338	0.1133316696
339	0.1131322151
340	0.1129930625
341	0.1128863585
342	0.1127760256
343	0.1126002586
344	0.1124162238
345	0.1122195012
346	0.112011013
347	0.1119078418
348	0.1115539182
349	0.1113880263
350	0.1112759253
351	0.1111627968
352	0.1110468199
353	0.11098898
354	0.1107790524
355	0.1106756449
356	0.1105076959
357	0.1103535685
358	0.1102784163
359	0.1101125918
360	0.109997084
361	0.109894705
362	0.1097720833
363	0.1097254389
364	0.1095710914
365	0.109434883
366	0.1092946678
367	0.1092088857
368	0.1089530895
369	0.1088356298
370	0.1087280138
371	0.1085537601
372	0.1084889403
373	0.1083565994
374	0.1082351144
375	0.1081191257
376	0.1080047682
377	0.1078738339
378	0.1077784352
379	0.1076140539
380	0.1075300324
381	0.1073956317
382	0.1072621664
383	0.1070796341
384	0.1069998283
385	0.1068761151
386	0.1067694083
387	0.1066478742
388	0.1064794065
389	0.1063523563
390	0.1062304156
391	0.1060811013
392	0.1059710413
393	0.1058270461
394	0.1055066266
395	0.1054145156
396	0.105304818
397	0.1051951563
398	0.1050581649
399	0.1050062584
400	0.1049577186
401	0.1048475017
402	0.1047234525
403	0.1045433695
404	0.1043659072
405	0.104222802
406	0.1040436994
407	0.1039465139
408	0.1038053686
409	0.1037160378
410	0.1035256334
411	0.1034400422
412	0.1033118971
413	0.10322927
414	0.1031386944
415	0.1030235979
416	0.1029467706
417	0.1028562584
418	0.102761795
419	0.1026551259
420	0.1025984527
421	0.1024478061
422	0.1023336518
423	0.1021880246
424	0.1020774184
425	0.101970868
426	0.1018562324
427	0.1017568559
428	0.1016587324
429	0.1015594874
430	0.1014764807
431	0.1013866967
432	0.1013112449
433	0.1012231115
434	0.1010088449
435	0.1009320566
436	0.1008103315
437	0.1007314156
438	0.1005855919
439	0.1004585292
440	0.1003712367
441	0.1002802059
442	0.1001503778
443	0.1000801228
444	0.09999744075
445	0.09992673663
446	0.09981217711
447	0.09968615546
448	0.09945258777
449	0.09939285868
450	0.09932107134
451	0.09922922345
452	0.09903894898
453	0.09896362724
454	0.0988827833
455	0.09878629284
456	0.09864700698
457	0.09858688232
458	0.09844586262
459	0.09839104631
460	0.09834608305
461	0.09829682091
462	0.09823499574
463	0.09818618457
464	0.09812985205
465	0.09803334059
466	0.09795486877
467	0.09786224729
468	0.09769853608
469	0.09757385273
470	0.09750628257
471	0.09744427353
472	0.09735645451
473	0.09725396201
474	0.09713014543
475	0.09705111324
476	0.09700276814
477	0.09693931685
478	0.09671650952
479	0.09666656028
480	0.0965975903
481	0.09647863586
482	0.09641664329
483	0.09634475044
484	0.0962209425
485	0.09606539519
486	0.09594963246
487	0.0958302169
488	0.09568670361
489	0.09563523542
490	0.09550748515
491	0.09542756666
492	0.09535349196
493	0.095249164
494	0.09515416824
495	0.09508396983
496	0.09501894294
497	0.09496448703
498	0.09483920736
499	0.09481890607
500	0.09477867439
501	0.09472294461
502	0.09463749425
503	0.09450545888
504	0.09435798685
505	0.09423778682
506	0.09413828866
507	0.09397806902
508	0.09384018594
509	0.09374151245
510	0.09363643125
511	0.09362543734
512	0.09357872542
513	0.09347922727
514	0.09341297101
515	0.09331458853
516	0.09322246048
517	0.09317657383
518	0.09313190046
519	0.09304431599
520	0.09292704743
521	0.09283008441
522	0.09271774087
523	0.09260198255
524	0.09251200463
525	0.09246490795
526	0.09239235445
527	0.09229893812
528	0.09228526996
529	0.09220457451
530	0.09212461993
531	0.09203218598
532	0.09194491883
533	0.09190362291
534	0.09182183853
535	0.09176159827
536	0.09161089454
537	0.09148173162
538	0.09142680085
539	0.09135240123
540	0.09130779874
541	0.09122861209
542	0.09113664806
543	0.09102680246
544	0.09093228681
545	0.0908058804
546	0.09077028358
547	0.09065740007
548	0.09059457094
549	0.09054315521
550	0.0904475158
551	0.09040980022
552	0.0903358272
553	0.09026358602
554	0.09020212538
555	0.09015408696
556	0.09007039815
557	0.08998841297
558	0.08989499045
559	0.08982997635
560	0.08979460448
561	0.08959084664
562	0.08950024249
563	0.0894030443
564	0.08931548481
565	0.08928508817
566	0.08915517784
567	0.08905855305
568	0.08899762262
569	0.08892169767
570	0.08881240107
571	0.0887394643
572	0.08868169728
573	0.08859167386
574	0.08853945495
575	0.0884669526
576	0.08841805922
577	0.08828523625
578	0.08813801193
579	0.08805385778
580	0.08800607948
581	0.0879579127
582	0.08786516572
583	0.08779764548
584	0.08773084729
585	0.08768306595
586	0.08760039591
587	0.08749781621
588	0.0874799377
589	0.08741770215
590	0.08738704339
591	0.08728786821
592	0.08719889365
593	0.08713422244
594	0.08708991856
595	0.08700256085
596	0.08697072803
597	0.08689725485
598	0.0868301637
599	0.08676327806
600	0.0866898462
601	0.08662493507
602	0.08651186604
603	0.08645065574
604	0.08642490266
605	0.08637082621
606	0.08634788292
607	0.08630697333
608	0.08626791305
609	0.08619335828
610	0.0861585074
611	0.08608117984
612	0.08603147266
613	0.08593595613
614	0.0858846015
615	0.08572475881
616	0.08567879577
617	0.08557631485
618	0.08551969741
619	0.08547136861
620	0.08540379638
621	0.08530042649
622	0.08523432328
623	0.0851503586
624	0.08506739013
625	0.08501216014
626	0.08494275983
627	0.08489944326
628	0.08481083881
629	0.08473454992
630	0.0846557678
631	0.08462473255
632	0.08456029859
633	0.08452400522
634	0.08448652385
635	0.08442425979
636	0.08438048991
637	0.08428908021
638	0.0842011278
639	0.08410845246
640	0.08405341337
641	0.08400723731
642	0.0839693482
643	0.08393335578
644	0.08387828622
645	0.08382877482
646	0.08375599454
647	0.08371730745
648	0.08366191726
649	0.08359704039
650	0.08345713516
651	0.08341422915
652	0.08334077196
653	0.08327115849
654	0.08322538398
655	0.08317098831
656	0.08312002472
657	0.08305984664
658	0.08302233647
659	0.08294682134
660	0.08289214645
661	0.08284858554
662	0.08278233583
663	0.08272020571
664	0.08265661593
665	0.08258721649
666	0.08249928542
667	0.0824366056
668	0.08242557269
669	0.08237127921
670	0.08231944717
671	0.08227209006
672	0.08219795769
673	0.08214371108
674	0.08205763081
675	0.0819808258
676	0.08191367491
677	0.08184891169
678	0.08176910887
679	0.08170115837
680	0.08162901472
681	0.0816014362
682	0.08149633706
683	0.08147205757
684	0.08138994773
685	0.08132899353
686	0.08127645313
687	0.08121500184
688	0.08116839698
689	0.08110510747
690	0.08108034936
691	0.08105339018
692	0.08101553316
693	0.0809670001
694	0.08090245536
695	0.08081447638
696	0.08074464671
697	0.08069804546
698	0.08066812893
699	0.08059896759
700	0.08053818627
701	0.08047742844
702	0.08043689735
703	0.08036654486
704	0.08028326576
705	0.08021861361
706	0.08015005515
707	0.08009564062
708	0.08003745891
709	0.07995840272
710	0.0798916614
711	0.07983181071
712	0.0797880804
713	0.07973529958
714	0.07969680549
715	0.07962537586
716	0.07959029701
717	0.07954680659
718	0.07950414631
719	0.07947274581
720	0.07942208732
721	0.07937602895
722	0.07933349021
723	0.07930472995
724	0.07925604831
725	0.07921696933
726	0.07912823621
727	0.07908075344
728	0.07902885714
729	0.07899112569
730	0.07890934917
731	0.07885386331
732	0.07883024456
733	0.07877292968
734	0.07875896715
735	0.07871520969
736	0.07866122965
737	0.07862563082
738	0.07853784314
739	0.07850132195
740	0.0784511154
741	0.07841416938
742	0.07837608841
743	0.07836341494
744	0.0782962268
745	0.07826573767
746	0.07821069571
747	0.07811560555
748	0.07805961332
749	0.07804757387
750	0.07797495761
751	0.07792730334
752	0.0778864992
753	0.0778085999
754	0.07780121281
755	0.07776606806
756	0.07773976939
757	0.07768941497
758	0.07764467613
759	0.07758454983
760	0.0774898768
761	0.07744683902
762	0.07738626853
763	0.07734200597
764	0.07729175907
765	0.07724340208
766	0.07718646005
767	0.07715279122
768	0.0771076254
769	0.0770823598
770	0.07705840296
771	0.07703183039
772	0.07698656644
773	0.076938703
774	0.07689367116
775	0.07685220742
776	0.07678485896
777	0.07672923903
778	0.07665957578
779	0.07662529296
780	0.07658796526
781	0.07653184808
782	0.07648552973
783	0.07641716781
784	0.07637763228
785	0.07632597651
786	0.07631594712
787	0.07627039108
788	0.07620311457
789	0.07615497372
790	0.07609471799
791	0.07604535547
792	0.07599128608
793	0.0759350707
794	0.07587784713
795	0.07582542115
796	0.07578812432
797	0.07574899404
798	0.0756875246
799	0.07563350972
800	0.07558957638
801	0.07553343997
802	0.07549237734
803	0.07543908028
804	0.07540698735
805	0.07533858985
806	0.07528605833
807	0.07521623876
808	0.07519913721
809	0.07516583901
810	0.07512450993
811	0.07507825404
812	0.07505856172
813	0.07494490577
814	0.07493319111
815	0.07487404765
816	0.07481944768
817	0.07476097997
818	0.07473008359
819	0.0747010749
820	0.07465755704
821	0.07459176912
822	0.07453059702
823	0.07449610581
824	0.07447865635
825	0.0744646889
826	0.07442121347
827	0.07435082461
828	0.07431949333
829	0.07426482665
830	0.0742063255
831	0.07415409895
832	0.07412618498
833	0.07409074766
834	0.07404412024
835	0.07399676961
836	0.07395781114
837	0.0739041972
838	0.07385044764
839	0.07381481711
840	0.07375689594
841	0.07370858331
842	0.07369025511
843	0.07362839512
844	0.07356457682
845	0.07350459884
846	0.07345406095
847	0.0734091505
