iter	Passed	Remaining
399	46987	70481
400	47075	70319
401	47163	70158
402	47267	70021
403	47383	69902
404	47477	69751
405	47583	69616
406	47677	69466
407	47777	69323
408	47863	69162
409	47957	69012
410	48058	68872
411	48170	68747
412	48289	68634
413	48392	68497
414	48490	68354
415	48609	68239
416	48734	68134
417	48844	68008
418	48945	67869
419	49113	67823
420	49220	67692
421	49330	67566
422	49454	67459
423	49573	67344
424	49709	67253
425	49830	67142
426	49955	67036
427	50061	66904
428	50182	66792
429	50310	66690
430	50423	66567
431	50518	66423
432	50629	66297
433	50734	66164
434	50854	66051
435	50972	65937
436	51094	65826
437	51203	65698
438	51302	65560
439	51410	65431
440	51526	65314
441	51613	65159
442	51705	65010
443	51805	64873
444	51896	64724
445	51989	64578
446	52096	64450
447	52209	64329
448	52327	64214
449	52425	64075
450	52543	63960
451	52684	63873
452	52814	63773
453	52939	63667
454	53058	63553
455	53228	63501
456	53355	63396
457	53453	63256
458	53586	63159
459	53717	63059
460	53836	62945
461	53964	62842
462	54112	62760
463	54246	62663
464	54370	62555
465	54499	62451
466	54595	62310
467	54673	62150
468	54794	62037
469	54923	61934
470	55033	61810
471	55134	61676
472	55230	61536
473	55351	61423
474	55440	61276
475	55519	61118
476	55613	60977
477	55708	60836
478	55813	60707
479	55891	60548
480	55986	60410
481	56113	60304
482	56223	60181
483	56330	60054
484	56450	59942
485	56579	59839
486	56716	59744
487	56841	59637
488	56982	59546
489	57103	59434
490	57222	59320
491	57348	59213
492	57491	59124
493	57618	59017
494	57739	58905
495	57857	58790
496	57974	58674
497	58116	58583
498	58258	58492
499	58340	58340
500	58430	58197
501	58510	58044
502	58612	57913
503	58721	57789
504	58843	57678
505	58958	57560
506	59078	57446
507	59191	57326
508	59290	57193
509	59389	57060
510	59487	56926
511	59547	56756
512	59644	56621
513	59752	56497
514	59854	56367
515	59951	56233
516	60043	56094
517	60134	55955
518	60223	55814
519	60341	55700
520	60449	55576
521	60566	55460
522	60688	55350
523	60806	55236
524	60927	55124
525	61052	55017
526	61200	54929
527	61335	54830
528	61428	54693
529	61556	54587
530	61694	54491
531	61810	54374
532	61939	54270
533	62072	54168
534	62205	54066
535	62333	53960
536	62452	53846
537	62543	53708
538	62650	53584
539	62771	53472
540	62879	53348
541	63011	53245
542	63122	53125
543	63222	52995
544	63342	52882
545	63444	52754
546	63528	52611
547	63633	52485
548	63727	52351
549	63818	52215
550	63939	52103
551	64038	51973
552	64154	51857
553	64285	51753
554	64401	51637
555	64522	51525
556	64643	51412
557	64799	51328
558	64916	51212
559	65036	51100
560	65148	50980
561	65274	50872
562	65439	50793
563	65591	50705
564	65712	50592
565	65829	50477
566	65965	50375
567	66078	50256
568	66167	50120
569	66257	49983
570	66377	49870
571	66494	49754
572	66611	49639
573	66732	49525
574	66828	49394
575	66920	49260
576	67004	49121
577	67095	48986
578	67191	48855
579	67308	48740
580	67397	48605
581	67491	48473
582	67589	48344
583	67688	48216
584	67785	48086
585	67898	47968
586	68006	47847
587	68126	47734
588	68223	47605
589	68349	47496
590	68460	47377
591	68581	47265
592	68732	47174
593	68865	47069
594	68978	46951
595	69117	46851
596	69231	46733
597	69362	46628
598	69503	46529
599	69634	46422
600	69768	46319
601	69893	46208
602	70006	46090
603	70096	45957
604	70175	45816
605	70285	45697
606	70376	45564
607	70496	45451
608	70607	45332
609	70724	45217
610	70827	45093
611	70933	44970
612	71025	44839
613	71127	44715
614	71246	44601
615	71335	44469
616	71415	44330
617	71519	44207
618	71606	44074
619	71703	43947
620	71824	43834
621	71936	43717
622	72058	43605
623	72187	43497
624	72314	43388
625	72436	43276
626	72541	43154
627	72677	43051
628	72802	42940
629	72920	42826
630	73060	42724
631	73168	42604
632	73291	42492
633	73431	42390
634	73547	42275
635	73690	42174
636	73825	42070
637	73952	41960
638	74057	41838
639	74168	41720
640	74276	41599
641	74394	41484
642	74492	41358
643	74609	41243
644	74727	41129
645	74828	41005
646	74935	40884
647	75035	40760
648	75130	40632
649	75223	40505
650	75329	40384
651	75425	40257
652	75524	40133
653	75623	40008
654	75736	39891
655	75832	39765
656	75928	39640
657	76052	39528
658	76161	39409
659	76303	39307
660	76410	39187
661	76532	39075
662	76657	38964
663	76775	38850
664	76894	38736
665	77015	38623
666	77144	38514
667	77264	38400
668	77354	38272
669	77478	38161
670	77604	38050
671	77727	37938
672	77863	37832
673	77985	37720
674	78093	37600
675	78194	37478
676	78306	37360
677	78413	37240
678	78543	37131
679	78662	37017
680	78783	36904
681	78879	36779
682	78988	36660
683	79082	36535
684	79174	36408
685	79301	36298
686	79399	36174
687	79491	36048
688	79580	35921
689	79688	35802
690	79782	35677
691	79879	35553
692	79992	35436
693	80110	35322
694	80227	35207
695	80361	35100
696	80485	34988
697	80600	34872
698	80770	34781
699	80888	34666
700	81003	34550
701	81117	34434
702	81228	34317
703	81360	34208
704	81497	34101
705	81637	33996
706	81781	33892
707	81912	33783
708	82038	33671
709	82180	33566
710	82284	33445
711	82386	33324
712	82482	33201
713	82605	33088
714	82728	32975
715	82842	32859
716	82955	32742
717	83079	32630
718	83160	32500
719	83246	32373
720	83345	32251
721	83444	32129
722	83521	31999
723	83606	31872
724	83703	31749
725	83798	31626
726	83899	31505
727	83997	31383
728	84108	31266
729	84212	31147
730	84334	31034
731	84455	30921
732	84586	30811
733	84704	30696
734	84796	30572
735	84907	30456
736	85059	30353
737	85144	30227
738	85260	30112
739	85369	29994
740	85488	29880
741	85589	29760
742	85731	29654
743	85842	29537
744	85973	29427
745	86080	29308
746	86207	29197
747	86325	29082
748	86437	28966
749	86513	28837
750	86615	28718
751	86721	28599
752	86841	28485
753	86954	28369
754	87054	28249
755	87174	28135
756	87261	28011
757	87357	27889
758	87453	27768
759	87572	27654
760	87670	27533
761	87761	27411
762	87864	27292
763	87950	27167
764	88057	27050
765	88161	26931
766	88278	26817
767	88383	26699
768	88505	26586
769	88609	26467
770	88719	26351
771	88844	26239
772	88953	26122
773	89121	26022
774	89217	25901
775	89331	25786
776	89434	25667
777	89579	25561
778	89724	25454
779	89859	25345
780	89977	25230
781	90101	25117
782	90243	25009
783	90387	24902
784	90506	24788
785	90600	24667
786	90712	24551
787	90836	24438
788	90955	24323
789	91065	24207
790	91179	24091
791	91276	23971
792	91386	23854
793	91488	23736
794	91592	23618
795	91690	23498
796	91779	23376
797	91872	23255
798	91964	23134
799	92058	23014
800	92153	22894
801	92254	22776
802	92369	22660
803	92473	22543
804	92578	22425
805	92697	22311
806	92813	22196
807	92931	22082
808	93033	21964
809	93152	21850
810	93305	21744
811	93428	21631
812	93592	21527
